ItemName,StockLevel,Cost,ReimbursementPotential,ExpirationDate
Pralatrexate,179,5486.14,1040940.97,8/25/2028
Pralatrexate,179,5486.14,1040940.97,8/26/2028
Gemcitabine HCl,182,471.32,90927.45,12/20/2028
Topotecan HCl,186,196.45,38732.54,10/30/2028
Topotecan HCl,186,196.45,38732.54,11/1/2028
Lorazepam,197,1.89,393.69,5/31/2028
Thyrotropin Alfa,199,1624.08,342584.23,5/3/2028
Thyrotropin Alfa,199,1624.08,342584.23,5/4/2028
Methylprednisolone Acetate,201,15.11,3218.28,2/16/2028
Mitomycin,203,334.56,71990.94,2/16/2028
Haloperidol Decanoate,207,87.9,19286.92,4/19/2028
Haloperidol Decanoate,207,87.9,19286.92,4/20/2028
Docetaxel,209,166.08,36793.51,8/31/2028
Diph Pertuss(Acell) Tet Ped/PF,210,70.86,15774.48,6/15/2028
Diph Pertuss(Acell) Tet Ped/PF,210,70.86,15774.48,6/16/2028
Secnidazole,211,273.61,61194.98,4/7/2028
Secnidazole,211,273.61,61194.98,4/8/2028
Leuprolide Acetate,225,555.51,132489.77,11/19/2028
Leuprolide Acetate,225,555.51,132489.77,11/21/2028
Cyclobenzaprine HCl,238,0.81,203.37,10/21/2028
Bortezomib,239,1666.98,422313.14,12/26/2028
Bortezomib,239,1666.98,422313.14,1/2/2029
Medroxyprogesterone Acetate,251,73.42,19533.54,1/1/2029
Alemtuzumab,256,18725.96,5081475.54,1/3/2029
Alemtuzumab,256,18725.96,5081475.54,1/4/2029
Insulin Admin. Supplies,263,55.05,15347.6,4/1/2028
Insulin Admin. Supplies,263,55.05,15347.6,4/2/2028
Ciprofloxacin HCl,272,1.61,463.46,5/18/2028
Docetaxel,275,19.98,5823.34,9/5/2028
Irinotecan HCl,278,6.05,1782.11,5/2/2028
Azacitidine,282,255.49,76370.38,1/30/2028
Prochlorperazine Edisylate,286,8.09,2451.64,4/17/2028
Diazepam,288,279.87,85440.22,6/12/2028
Diazepam,288,279.87,85440.22,6/13/2028
N.Meningitidis B Lipid Fhbp Rc,293,294.49,91461.86,11/27/2028
N.Meningitidis B Lipid Fhbp Rc,293,294.49,91461.86,11/28/2028
Atropine Sulfate,295,0.78,242.87,3/27/2028
Midazolam HCl,300,2.22,705.41,6/10/2028
Aminolevulinic Acid HCl,304,358.72,115594.89,5/24/2028
Aminolevulinic Acid HCl,304,358.72,115594.89,5/25/2028
Nusinersen Sodium/PF,305,26339.53,8515568.94,2/15/2028
Nusinersen Sodium/PF,305,26339.53,8515568.94,2/16/2028
Ciprofloxacin HCl,308,2.2,719.11,5/14/2028
Gemcitabine HCl,314,42.83,14255.19,12/18/2028
Talazoparib Tosylate,330,492.99,172449.33,2/25/2028
Talazoparib Tosylate,330,492.99,172449.33,2/26/2028
Testosterone Cypionate,335,16.64,5908.03,2/9/2028
Ciprofloxacin HCl,336,1.56,555.76,5/22/2028
Mesalamine W/Cleansing Wipes,342,619.86,224713.12,6/15/2028
Mesalamine W/Cleansing Wipes,342,619.86,224713.12,6/16/2028
Gemcitabine HCl,362,27.05,10380.31,12/19/2028
Granisetron HCl,368,3.87,1507.69,6/24/2028
Cidofovir,372,36.95,14570.08,7/23/2028
Hepatitis B Virus Vaccine/PF,373,120.35,47583.49,3/14/2028
Hepatitis B Virus Vaccine/PF,373,120.35,47583.49,3/15/2028
Mesna,374,2.33,925.44,7/30/2028
Epinephrine,382,0.54,216.68,1/28/2028
Somatropin,391,964.57,399775.61,4/13/2028
Somatropin,391,964.57,399775.61,4/14/2028
Haloperidol Decanoate,392,162.66,67588.72,4/21/2028
Haloperidol Decanoate,392,162.66,67588.72,4/22/2028
Isoniazid,397,0.23,95.32,4/18/2028
Epinastine HCl,405,9.06,3891.08,2/2/2028
Ofloxacin,405,1.43,615.64,11/18/2028
Phenylephrine HCl,408,8.61,3721.84,9/12/2028
Etoposide,420,1.58,704.12,5/19/2028
Granisetron HCl/PF,420,8.25,3670.7,6/29/2028
Levoleucovorin Calcium,421,143.58,64073.53,7/6/2028
Hydroxyprogesterone Caproat/PF,422,632.55,282953.64,6/15/2028
Hydroxyprogesterone Caproat/PF,422,632.55,282953.64,6/19/2028
Rabies Vacc  Human Diploid/PF,427,339.37,153604.23,12/30/2028
Rabies Vacc  Human Diploid/PF,427,339.37,153604.23,12/31/2028
Aflibercept,430,38477.57,17538077.35,3/6/2028
Aflibercept,430,38477.57,17538077.35,3/7/2028
Irinotecan HCl,436,5.45,2517.14,4/30/2028
Midazolam HCl/PF,438,1.97,913.99,6/18/2028
Bumetanide,439,0.83,386.68,9/2/2028
HPv Vaccine 9-Valent/PF,440,421.07,196386.73,1/28/2028
HPv Vaccine 9-Valent/PF,440,421.07,196386.73,1/29/2028
Hydralazine HCl,442,8.24,3861.28,10/24/2028
Sumatriptan Succ/Naproxen Sod,448,60.52,28738.49,8/31/2028
Japanese Encephalitis Vacc/PF,451,525.98,251452.26,2/13/2028
Japanese Encephalitis Vacc/PF,451,525.98,251452.26,2/14/2028
Levothyroxine Sodium,461,95.82,46824.59,6/9/2028
Decitabine,464,1199.83,590125.3,4/17/2028
Diph Pertuss(Acell) Tet Ped/PF,464,48.36,23783.69,11/21/2028
Diph Pertuss(Acell) Tet Ped/PF,464,48.36,23783.69,11/22/2028
Lincomycin HCl,471,20.26,10114.97,2/19/2028
Lincomycin HCl,471,20.26,10114.97,2/20/2028
Ado-Trastuzumab Emtansine,475,3348.72,1686078.35,12/10/2028
Ado-Trastuzumab Emtansine,475,3348.72,1686078.35,12/11/2028
Dexamethasone,477,1362.27,688791.63,8/9/2028
Dexamethasone,477,1362.27,688791.63,8/10/2028
Pantoprazole Sodium,479,4.5,2287.33,5/6/2028
Fluphenazine Decanoate,480,21.97,11179.18,11/26/2028
Azacitidine,483,605.82,310165.89,7/21/2028
Azacitidine,483,605.82,310165.89,7/22/2028
Methotrexate Sodium,485,0.78,402.62,2/20/2028
Metronidazole,490,37.43,19441.62,2/26/2028
Metronidazole,490,37.43,19441.62,2/27/2028
Irinotecan HCl,516,4.54,2484.27,4/29/2028
Lincomycin HCl,524,11.29,6273.23,2/17/2028
Lincomycin HCl,524,11.29,6273.23,2/18/2028
Palonosetron HCl,525,51.1,28438.23,6/14/2028
Baloxavir Marboxil,529,76.93,43139.91,11/7/2028
Baloxavir Marboxil,529,76.93,43139.91,11/8/2028
Tobramycin Sulfate,531,8.15,4585.25,1/13/2028
Goserelin Acetate,534,1393.5,788776.57,5/6/2028
Goserelin Acetate,534,1393.5,788776.57,5/7/2028
Levonorgestrel,539,950.13,542846.17,3/14/2028
Levonorgestrel,539,950.13,542846.17,3/15/2028
Yellow Fever Vaccine Live/PF,544,183.88,106030.36,9/28/2028
Yellow Fever Vaccine Live/PF,544,183.88,106030.36,9/29/2028
Cabazitaxel,546,7068.84,4091159.81,1/9/2029
Cabazitaxel,546,7068.84,4091159.81,1/10/2029
Octreotide Acetate,547,15.07,8739.36,12/9/2028
Azithromycin,551,66.42,38793.54,5/15/2028
Azithromycin,551,66.42,38793.54,5/16/2028
Nafarelin Acetate,560,351.06,208391.37,5/22/2028
Nafarelin Acetate,560,351.06,208391.37,5/23/2028
Iron Fum Ps/Folic/Bcomp C No.9,570,0.69,414.21,7/26/2028
Iron Fum Ps/Folic/Bcomp C No.9,570,0.69,414.21,7/27/2028
Ulipristal Acetate,578,36.9,22610.35,7/2/2028
Ulipristal Acetate,578,36.9,22610.35,7/3/2028
Amoxicillin,581,0.21,130.78,3/14/2028
Tretinoin,585,2.58,1597.98,9/4/2028
Tretinoin,585,2.58,1597.98,9/5/2028
Zaleplon,585,0.58,358.44,9/6/2028
Cefazolin Sodium,586,14.7,9129.03,5/27/2028
Levonorgestrel/Ethin.Estradiol,588,0.46,285.43,3/16/2028
Levonorgestrel/Ethin.Estradiol,588,0.46,285.43,3/17/2028
Rabies Vaccine (Pcec)/PF,600,366.78,233271.27,6/20/2028
Tetracaine HCl/PF,600,3.36,2135.13,6/21/2028
Rabies Vaccine (Pcec)/PF,600,366.78,233271.27,6/21/2028
Tetracaine HCl/PF,600,3.36,2135.13,6/22/2028
Omeprazole/Sodium Bicarbonate,600,60.51,38484.28,7/27/2028
Salicylic Acid,610,27.55,17813.17,4/6/2028
Granisetron HCl/PF,610,18.87,12203.81,6/28/2028
Lamivudine,615,3.35,2186.65,5/14/2028
Syringe And Needle Insulin 1ml,617,0.21,136.82,8/25/2028
Methylprednisolone,618,1.14,749.24,11/30/2028
Decitabine,629,1194.11,796162.48,4/21/2028
Lixisenatide,636,99.67,67193.87,5/8/2028
Lixisenatide,636,99.67,67193.87,5/9/2028
Aripiprazole Lauroxil Submicr.,640,799.71,542524.1,9/6/2028
Aripiprazole Lauroxil Submicr.,640,799.71,542524.1,9/7/2028
Benzonatate,645,0.28,191.67,6/28/2028
Imatinib Mesylate,660,146.81,102706.2,2/9/2028
Lidocaine HCl/Epinephrine,660,0.32,225.17,10/14/2028
Lidocaine HCl/Epinephrine,660,0.32,225.17,10/15/2028
Mycophenolate Sodium,662,2.67,1870.6,7/22/2028
Bumetanide,662,0.89,621.25,9/8/2028
Hydrocodone/Ibuprofen,671,0.4,283.05,8/30/2028
Rimabotulinumtoxinb,673,584.84,417215.29,7/12/2028
Rimabotulinumtoxinb,673,584.84,417215.29,7/13/2028
Plerixafor,685,6454.82,4686847.95,9/22/2028
Plerixafor,685,6454.82,4686847.95,9/23/2028
Amlodipine Besylate,688,0.13,96,5/13/2028
Canakinumab/PF,693,16468.29,12097275.13,2/19/2028
Canakinumab/PF,693,16468.29,12097275.13,2/20/2028
Neomycin/Polymyxin B/Dexametha,700,18.75,13910.94,1/31/2028
Tamsulosin HCl,703,0.51,383.29,2/2/2028
Syringe-Needle Insulin 0.5 Ml,710,0.14,105.49,8/9/2028
Potassium Citrate,719,1.13,860.03,1/3/2029
Fluocinonide,720,1.18,896.9,1/28/2028
Epoprostenol Sodium (Glycine),720,44.55,34004.25,5/5/2028
Epoprostenol Sodium (Glycine),720,44.55,34004.25,5/6/2028
Efavirenz/Lamivu/Tenofov Disop,720,56.38,43030.91,6/9/2028
Efavirenz/Lamivu/Tenofov Disop,720,56.38,43030.91,6/10/2028
Meloxicam,726,0.18,141.46,11/20/2028
Multivit-Mins 25/Folic Acid/D3,728,0.35,269.56,6/14/2028
Multivit-Mins 25/Folic Acid/D3,728,0.35,269.56,6/15/2028
Gauze Bandage,740,0.15,116.52,12/7/2028
Progesterone  Micronized,741,11.55,9069.34,4/16/2028
Progesterone  Micronized,741,11.55,9069.34,4/17/2028
Migalastat HCl,742,1785.27,1404151.65,3/1/2028
Migalastat HCl,742,1785.27,1404151.65,3/2/2028
Mv-Mins 71/Iron/Folic No.1/DHA,750,1.52,1205.41,7/20/2028
Mv-Mins 71/Iron/Folic No.1/DHA,750,1.52,1205.41,7/21/2028
Prochlorperazine Edisylate,754,7.88,6301.56,4/16/2028
Rizatriptan Benzoate,757,2.73,2187.71,8/13/2028
Meloxicam,758,0.12,99.96,11/21/2028
Atropine Sulfate,760,9.59,7727.78,3/22/2028
Oxaliplatin,774,1352.3,1109479.82,1/13/2028
Multivit-Mins60/Iron Fum/Folic,797,0.22,182.16,7/14/2028
Multivit-Mins60/Iron Fum/Folic,797,0.22,182.16,7/15/2028
Meningococcal B Vaccine 4-Comp,798,358.96,303638.07,3/8/2028
Meningococcal B Vaccine 4-Comp,798,358.96,303638.07,3/9/2028
Clobazam,798,2.3,1945.46,11/15/2028
Moxifloxacin HCl,805,8.33,7103.94,9/28/2028
Imiquimod,810,144.54,124104.04,1/6/2029
Acetazolamide,812,2.29,1971.91,9/28/2028
Haemoph B Poly Conj-Tet Tox/PF,815,33.8,29196.57,8/15/2028
Haemoph B Poly Conj-Tet Tox/PF,815,33.8,29196.57,8/16/2028
Methylprednisolone Sod Succ,816,6.87,5942.81,11/13/2028
Famotidine/PF,818,0.58,502.17,1/16/2028
Busulfan,820,23.88,20753.36,7/14/2028
Busulfan,820,23.88,20753.36,7/15/2028
Nitisinone,840,102.64,91388.18,3/28/2028
Nitisinone,840,102.64,91388.18,3/29/2028
Sumatriptan Succinate,840,54.23,48289.43,8/8/2028
Neomycin/Polymyxin B/Dexametha,843,53.06,47416.51,2/1/2028
Fluticasone Propion/Salmeterol,854,298.5,270212.05,4/2/2028
Fluticasone Propion/Salmeterol,854,298.5,270212.05,4/3/2028
Ethambutol HCl,858,0.92,837.26,6/16/2028
Benztropine Mesylate,859,21.11,19217.64,6/18/2028
Cyclobenzaprine HCl,861,0.24,216.36,11/4/2028
C1 Esterase Inhibitor  Recomb,868,5883.28,5413085.77,6/3/2028
C1 Esterase Inhibitor  Recomb,868,5883.28,5413085.77,6/4/2028
Methylphenidate HCl,870,10.96,10110.57,7/27/2028
Methylphenidate HCl,870,10.96,10110.57,7/28/2028
Bacitracin/Polymyxin B Sulfate,878,4.56,4239.76,3/27/2028
Bacitracin/Polymyxin B Sulfate,878,4.56,4239.76,3/28/2028
Leucovorin Calcium,889,33.94,31985.03,11/27/2028
Ezetimibe,892,1.31,1240.54,2/23/2028
Desmopressin Acetate,900,14.61,13941.76,7/7/2028
Desmopressin Acetate,900,14.61,13941.76,7/8/2028
Rituximab/Hyaluronidase Human,902,555.08,530722.37,9/11/2028
Rituximab/Hyaluronidase Human,902,555.08,530722.37,9/12/2028
Sumatriptan Succinate,906,1.99,1912.38,8/14/2028
Minocycline HCl,910,19.67,18976.61,3/28/2028
Pimecrolimus,910,7.28,7027.08,7/16/2028
Pimecrolimus,910,7.28,7027.08,7/17/2028
Ofloxacin,915,16.7,16192.93,12/6/2028
Ofloxacin,915,16.7,16192.93,12/7/2028
Buprenorphine,917,1572.3,1528306.01,11/19/2028
Buprenorphine,917,1572.3,1528306.01,11/20/2028
Terbutaline Sulfate,918,2.93,2846.53,8/25/2028
Timolol Maleate,920,38.53,37572.4,3/15/2028
Timolol Maleate,920,38.53,37572.4,3/16/2028
Atomoxetine HCl,922,4.7,4595.89,5/22/2028
Mesna,923,1.58,1541.22,7/29/2028
Rifabutin,923,25.64,25084.98,8/18/2028
Rifabutin,923,25.64,25084.98,8/19/2028
PNV Calcium 72/Iron/Folic Acid,928,0.31,300.76,7/27/2028
Dextroamphetamine/Amphetamine,932,0.75,742.51,8/13/2028
Desmopressin Acetate,940,24.44,24356.37,12/25/2028
Chorionic Gonadotropin  Human,944,81.9,81949.64,8/7/2028
Chorionic Gonadotropin  Human,944,81.9,81949.64,8/8/2028
Folic Acid/B Cplx/C/Selen/Zinc,960,0.29,295.06,6/16/2028
Folic Acid/B Cplx/C/Selen/Zinc,960,0.29,295.06,6/17/2028
Doxylamine Succinate/Vit B6,960,10.4,10584.58,1/5/2029
Doxylamine Succinate/Vit B6,960,10.4,10584.58,1/6/2029
Dicyclomine HCl,965,0.16,158.83,3/19/2028
Vincristine Sulfate,969,4.96,5090.68,6/18/2028
Vincristine Sulfate,969,4.96,5090.68,6/19/2028
Epinephrine,979,309.81,321499.43,1/23/2028
Epinephrine,979,309.81,321499.43,1/24/2028
Tamoxifen Citrate,990,0.22,235.71,2/19/2028
Mesalamine,991,31.17,32742.5,8/8/2028
Dexamethasone,1007,6.49,6927.97,10/26/2028
Amlodipine Besylate,1008,0.16,175.39,5/4/2028
Vinblastine Sulfate,1010,4.32,4622.2,6/22/2028
Vinblastine Sulfate,1010,4.32,4622.2,6/23/2028
Levothyroxine Sodium,1018,202.57,218588.27,6/15/2028
Tamsulosin HCl,1020,0.22,234.72,2/4/2028
Doravirine/Lamivu/Tenofov Diso,1020,69.67,75323.24,3/17/2028
Doravirine/Lamivu/Tenofov Diso,1020,69.67,75323.24,3/18/2028
Methotrexate,1022,16.24,17597.72,12/21/2028
Methotrexate,1022,16.24,17597.72,12/22/2028
Hyoscyamine Sulfate,1030,2.26,2470.34,6/19/2028
Hyoscyamine Sulfate,1030,2.26,2470.34,6/20/2028
Granisetron HCl/PF,1030,14.46,15782.1,6/30/2028
Bupivacaine HCl/PF,1035,0.41,449.85,3/7/2028
Bupivacaine HCl/PF,1035,0.41,449.85,3/8/2028
Miconazole Nitrate/Zinc Ox/Pet,1050,9.59,10671.88,6/28/2028
Miconazole Nitrate/Zinc Ox/Pet,1050,9.59,10671.88,6/29/2028
Miltefosine,1064,601.71,678627.52,12/28/2028
Miltefosine,1064,601.71,678627.52,12/29/2028
Oritavancin Diphosphate,1066,64.25,72604.13,4/7/2028
Oritavancin Diphosphate,1066,64.25,72604.13,4/8/2028
Naloxone HCl,1067,13.91,15735.31,5/3/2028
Azacitidine,1069,332.22,376446.71,1/26/2028
Erythromycin/Benzoyl Peroxide,1071,9.29,10547.46,7/11/2028
Erythromycin/Benzoyl Peroxide,1071,9.29,10547.46,7/12/2028
Doxycycline Hyclate,1075,2.35,2683.45,4/1/2028
Iron Fum Ps/Folic Acid/Vitc/B3,1080,0.56,638.4,7/28/2028
Iron Fum Ps/Folic Acid/Vitc/B3,1080,0.56,638.4,7/29/2028
Ketorolac Tromethamine,1080,1.01,1156.41,9/27/2028
Abobotulinumtoxina,1094,753.72,874041.39,11/10/2028
Abobotulinumtoxina,1094,753.72,874041.39,11/11/2028
Lanadelumab-Flyo,1096,11262.58,13084415.39,3/9/2028
Lanadelumab-Flyo,1096,11262.58,13084415.39,3/10/2028
Deferoxamine Mesylate,1100,28.13,32803.7,3/23/2028
Infliximab-Dyyb,1105,967.07,1132728.55,11/19/2028
Infliximab-Dyyb,1105,967.07,1132728.55,11/20/2028
Nystatin/Triamcinolone Acet,1110,2.95,3471.03,1/4/2029
Orphenadrine Citrate,1119,5.35,6349.3,3/14/2028
Dutasteride,1126,0.46,544.83,11/28/2028
Bendamustine HCl,1127,2434.95,2908841.51,7/12/2028
Bendamustine HCl,1127,2434.95,2908841.51,7/13/2028
Poliomyelitis Vaccine  Killed,1128,66.11,79043.25,6/21/2028
Poliomyelitis Vaccine  Killed,1128,66.11,79043.25,6/22/2028
Rifampin,1137,9.29,11194.52,11/17/2028
PEGloticase,1140,20949.42,25315273.85,7/29/2028
PEGloticase,1140,20949.42,25315273.85,7/30/2028
Vinorelbine Tartrate,1146,18.11,22004.31,6/16/2028
Calcium Chloride,1150,1.02,1246.39,1/6/2029
Calcium Chloride,1150,1.02,1246.39,1/7/2029
Probenecid,1170,0.88,1093.24,5/3/2028
Ketorolac Tromethamine,1170,47.66,59106.61,8/1/2028
Ketorolac Tromethamine,1170,47.66,59106.61,8/2/2028
Oxaliplatin,1180,2.62,3279.66,1/10/2029
Amiodarone HCl,1196,2.33,2955.22,6/11/2028
Rabeprazole Sodium,1200,0.79,998.59,6/13/2028
Multivit No.42/Iron/Folate/DHA,1204,5.39,6883.91,12/7/2028
Multivit No.42/Iron/Folate/DHA,1204,5.39,6883.91,12/8/2028
Methylprednisolone,1207,1.01,1292.44,11/28/2028
Methyltestosterone,1213,69.2,88981.11,3/21/2028
Methyltestosterone,1213,69.2,88981.11,3/22/2028
Entecavir,1230,28.31,36904.5,3/2/2028
Lamotrigine,1260,15.77,21056.55,5/20/2028
Lamotrigine,1260,15.77,21056.55,5/21/2028
Netupitant/Palonosetron HCl,1264,540.84,724636.35,3/19/2028
Netupitant/Palonosetron HCl,1264,540.84,724636.35,3/20/2028
Diclofenac Sodium,1264,0.26,352.09,4/28/2028
Esomeprazole Magnesium,1270,3.62,4879.79,9/6/2028
Prenatal Vit 65/Iron Fum Ps/FA,1270,0.96,1293.35,11/4/2028
Prenatal Vit 65/Iron Fum Ps/FA,1270,0.96,1293.35,11/5/2028
Glycopyrrolate,1275,5.11,6900.57,8/9/2028
Glycopyrrolate,1275,5.11,6900.57,8/10/2028
Modafinil,1283,8.09,11008.99,1/28/2028
Famotidine,1291,0.21,289.88,1/9/2029
Eplerenone,1295,2.15,2953.61,1/8/2029
Mesna,1297,1.73,2382.33,7/31/2028
Minocycline HCl,1300,28.15,38788,3/29/2028
Zoledronic Ac/Mannitol/0.9nacl,1300,1.69,2327.59,5/3/2028
Zoledronic Ac/Mannitol/0.9nacl,1300,1.69,2327.59,5/5/2028
Syring-Needl Disp Insul 0.3 Ml,1300,0.37,513.17,9/17/2028
Testosterone Undecanoate,1302,365.5,504432.33,2/19/2028
Testosterone Undecanoate,1302,365.5,504432.33,2/20/2028
Vinorelbine Tartrate,1304,17.54,24239.36,6/17/2028
Immune Globul G (IgG)/Glycine,1308,42.99,59603.56,2/16/2028
Immune Globul G (IgG)/Glycine,1308,42.99,59603.56,2/17/2028
Cyanocobalamin (Vitamin B-12),1311,6.78,9424.82,11/14/2028
Pyridostigmine Bromide,1312,15.17,21099.12,3/4/2028
Pyridostigmine Bromide,1312,15.17,21099.12,3/5/2028
Morphine Sulfate,1314,3.13,4358.72,11/1/2028
Imatinib Mesylate,1318,101.94,142411.43,2/13/2028
Vigabatrin,1320,103.6,144960.15,7/13/2028
Leuprolide Acetate,1326,1539.32,2163602.87,7/16/2028
Leuprolide Acetate,1326,1539.32,2163602.87,7/17/2028
Granisetron HCl,1336,14.99,21231.4,6/26/2028
Palonosetron HCl,1345,48.21,68729.36,6/17/2028
Metoclopramide HCl,1347,1.09,1550.86,10/28/2028
Folic Acid/Vit B Complex And C,1350,0.14,203.75,6/18/2028
Folic Acid/Vit B Complex And C,1350,0.14,203.75,6/19/2028
Galcanezumab-Gnlm,1354,583.41,837332.83,6/16/2028
Galcanezumab-Gnlm,1354,583.41,837332.83,6/17/2028
Hydrocortisone/Pramoxine,1356,8.34,11985.24,2/5/2028
Hydrocortisone/Pramoxine,1356,8.34,11985.24,2/6/2028
Morphine Sulfate,1364,0.62,898.67,11/12/2028
Bethanechol Chloride,1371,0.66,964.31,4/2/2028
Hyoscyamine Sulfate,1384,1.3,1907.28,3/16/2028
Hyoscyamine Sulfate,1384,1.3,1907.28,3/17/2028
Metoprolol Succinate,1384,0.64,933.71,9/20/2028
Flucytosine,1388,53.36,78510.18,4/2/2028
Captopril,1390,1.14,1685.31,11/21/2028
