ItemName,StockLevel,Cost,ReimbursementPotential,ExpirationDate
Droxidopa,3288267,56.03,195291672.55,2028-05-25
Mvn-Min75/Iron/Iron Ps/Om3/DHA,7255,0.90,6957.41,2028-01-17
Hydroxyzine Pamoate,8674,2.77,25426.97,2028-05-25
Meclizine HCl,60208685,0.20,13052371.69,2028-01-17
Disopyramide Phosphate,285294,4.37,1321737.68,2028-05-26
Hydroxyzine Pamoate,8674,2.77,25426.97,2028-05-26
Meclizine HCl,16812228,0.21,3722131.05,2028-01-16
Norethindrone-Ethin. Estradiol,733151,0.65,507543.27,2028-05-23
Syringe And Needle,Insulin,1ml,211554,0.61,137610.16,2028-09-07
Droxidopa,3288267,56.03,195291672.55,2028-05-24
Syringe And Needle,Insulin,1ml,9980,0.23,2430.91,2028-09-06
Meclizine HCl,65343138,0.20,14105892.26,2028-01-14
Nortriptyline HCl,111319511,0.20,23361738.42,2028-05-21
Syringe And Needle,Insulin,1ml,203560,0.11,24346.26,2028-09-05
Meclizine HCl,7361,0.38,2994.83,2028-01-13
Norethindrone-Ethin. Estradiol,733151,0.65,507543.27,2028-05-22
Syringe And Needle,Insulin,1ml,45392,0.17,8187.40,2028-09-04
Meclofenamate Sodium,104117,5.09,562287.12,2029-01-11
Nortriptyline HCl,38753415,0.19,7691658.56,2028-05-19
Syringe And Needle,Insulin,1ml,246200,0.15,40420.90,2028-09-03
Meclofenamate Sodium,104117,5.09,562287.12,2029-01-10
Nortriptyline HCl,37948747,0.21,8277802.99,2028-05-20
Syringe And Needle,Insulin,1ml,2170664,0.58,1327617.75,2028-09-02
Methylprednisolone,221521,1.93,454353.96,2029-01-09
Nortriptyline HCl,33282501,0.20,7220405.45,2028-05-17
Syringe And Needle,Insulin,1ml,6582,0.16,1089.44,2028-09-01
Methylprednisolone,221521,1.93,454353.96,2029-01-08
Nortriptyline HCl,1334848,0.32,450117.47,2028-05-18
Syringe And Needle,Insulin,1ml,6748,0.11,796.49,2028-08-31
Medroxyprogesterone Acetate,17710117,18.19,341517340.08,2029-01-07
Syringe And Needle,Insulin,1ml,1450,0.20,313.37,2028-08-30
Fluconazole,164,1.96,341.42,2028-04-23
Syringe And Needle,Insulin,1ml,5985259,0.24,1541122.65,2028-09-09
Fluconazole,1040797,2.18,2402569.67,2028-04-24
Fluconazole,1830610,2.51,4876576.76,2028-04-25
Fluconazole,20572973,2.68,58519263.67,2028-04-26
Fluticasone Propionate,16938718,23.52,422321629.25,2028-04-27
Fluticasone Propionate,16938718,23.52,422321629.25,2028-04-28
Fluticasone Propionate,12308427,3.48,45447137.99,2028-04-29
Fluticasone Propionate,12308427,3.48,45447137.99,2028-04-30
Nilotinib HCl,2979558,116.30,367305750.20,2028-01-13
PNV 112/Iron/Folic/Om3/DHA/EPA,26370,1.45,40411.99,2028-05-21
Nilotinib HCl,2979558,116.30,367305750.20,2028-01-14
PNV 112/Iron/Folic/Om3/DHA/EPA,26370,1.45,40411.99,2028-05-22
Prenatal Vit 10/Iron Fum/Folic,8123,3.86,33216.24,2028-05-17
Prenatal Vit 10/Iron Fum/Folic,8123,3.86,33216.24,2028-05-18
PNV 67/Iron Ps/Folate No.1/DHA,24870,4.26,112232.26,2028-05-19
PNV 67/Iron Ps/Folate No.1/DHA,24870,4.26,112232.26,2028-05-20
Colistin (Colistimethate Na),1422,27.78,41869.39,2028-04-02
Colistin (Colistimethate Na),28871,11.18,342034.16,2028-04-04
Brimonidine Tartrate,10491797,9.47,105323489.34,2028-11-28
Colistin (Colistimethate Na),1422,27.78,41869.39,2028-04-03
Brimonidine Tartrate,3336576,1.74,6171029.62,2028-11-25
Colistin (Colistimethate Na),58191,12.81,789846.70,2028-04-06
Ticagrelor,71783319,5.91,449572197.31,2028-12-01
Colistin (Colistimethate Na),87062,12.17,1122826.00,2028-04-08
Norethindrone-Ethin. Estradiol,22206,0.85,20111.92,2028-12-02
Brimonidine Tartrate,16463579,6.56,114484588.00,2028-11-29
Colestipol HCl,27479533,0.87,25481888.72,2028-04-10
Ticagrelor,71783319,5.91,449572197.31,2028-11-30
Colestipol HCl,15162091,0.93,14897693.09,2028-04-09
Brimonidine Tartrate/Timolol,9976173,32.49,343537838.13,2028-04-01
Brimonidine Tartrate/Timolol,9976173,32.49,343537838.13,2028-03-31
Brimonidine Tartrate,2635206,1.93,5394471.48,2028-11-22
Colestipol HCl,135555,4.15,595721.13,2028-04-13
Colestipol HCl,42641624,0.89,40407730.74,2028-04-12
Colesevelam HCl,5003040,2.41,12754525.80,2028-04-15
Colestipol HCl,135555,4.15,595721.13,2028-04-14
Colesevelam HCl,8762,2.54,23569.80,2028-04-16
Colesevelam HCl,96815,2.26,232304.75,2028-04-19
Colesevelam HCl,11989381,3.35,42536561.87,2028-04-21
Pen Needle, Diabetic,31588735,0.73,24363491.81,2028-03-13
Bromocriptine Mesylate,1272230,3.05,4107906.87,2028-11-03
Bromocriptine Mesylate,3754343,3.29,13106184.49,2028-11-04
Pen Needle, Diabetic,31588735,0.73,24363491.81,2028-03-14
Brivaracetam,3050065,17.74,57355336.26,2028-11-09
Syringe-Needle,Insulin,0.5 Ml,2902936,0.57,1739173.40,2028-03-17
Brivaracetam,3050065,17.74,57355336.26,2028-11-10
Syringe-Needle,Insulin,0.5 Ml,2902936,0.57,1739173.40,2028-03-16
Bromfenac Sodium,50263,68.22,3634473.23,2028-11-07
Syringe And Needle,Insulin,1ml,6171366,0.57,3714402.72,2028-03-19
Bromfenac Sodium,50263,68.22,3634473.23,2028-11-08
Bromocriptine Mesylate,359735,3.40,1297554.55,2028-11-02
Emtricita/Rilpivirine/Tenof Df,841304,90.72,80904499.60,2028-03-09
Bromocriptine Mesylate,387980,5.31,2184730.59,2028-10-31
Bromocriptine Mesylate,1605082,2.66,4524430.02,2028-11-01
Cabozantinib S-Malate,40768,207.31,8958616.19,2028-03-24
Cabozantinib S-Malate,40768,207.31,8958616.19,2028-03-23
Lamivudine/Zidovudine,55144,15.13,884466.68,2028-03-26
Lamivudine/Zidovudine,55144,15.13,884466.68,2028-03-25
Ipratropium/Albuterol Sulfate,5359850,94.68,537900918.82,2028-03-28
Ipratropium/Albuterol Sulfate,5359850,94.68,537900918.82,2028-03-27
Estradiol/Norethindrone Acet,133409,21.72,3071076.99,2028-03-30
Estradiol/Norethindrone Acet,133409,21.72,3071076.99,2028-03-29
Syring-Needl,Disp,Insul,0.3 Ml,785602,0.57,472337.57,2028-03-21
Syringe And Needle,Insulin,1ml,6171366,0.57,3714402.72,2028-03-20
Paroxetine Mesylate,32106,6.48,220511.49,2028-11-11
Paroxetine Mesylate,32106,6.48,220511.49,2028-11-12
Syring-Needl,Disp,Insul,0.3 Ml,785602,0.57,472337.57,2028-03-22
Fluocinonide,53714876,1.61,91930236.35,2028-02-13
Fluocinolone Acetonide Oil,670845,6.82,4849514.56,2028-02-14
Fluocinolone Acetonide Oil,292837,6.55,2032265.15,2028-02-16
Fluocinolone Acetonide Oil,410462,6.64,2887106.51,2028-02-17
Fluocinolone Acetonide Oil,9493,6.83,68712.63,2028-02-18
Fluocinolone Acetonide Oil,1383637,6.71,9837814.87,2028-02-19
Fluocinolone/Shower Cap,995481,1.13,1193318.80,2028-02-21
Paliperidone Palmitate,621813,1714.81,1130268516.74,2028-07-08
Paliperidone Palmitate,621813,1714.81,1130268516.74,2028-07-07
Paliperidone Palmitate,102965,2909.06,317503293.24,2028-07-06
Paliperidone Palmitate,102965,2909.06,317503293.24,2028-07-05
Saquinavir Mesylate,284527,10.15,3060318.08,2028-07-02
Saquinavir Mesylate,284527,10.15,3060318.08,2028-07-01
Fluocinolone/Shower Cap,1167091,1.09,1348540.76,2028-02-22
Fluocinolone/Shower Cap,951267,1.05,1058784.20,2028-02-23
Fluocinolone/Shower Cap,26281,1.17,32632.15,2028-02-24
Fluocinolone/Shower Cap,3134133,0.96,3192692.43,2028-02-25
Fluocinolone/Shower Cap,6274256,1.03,6836976.11,2028-02-26
Fluocinolone Acetonide,123420,1.85,242088.63,2028-02-27
Fluocinolone Acetonide,450068,1.16,552377.42,2028-02-28
Fluocinolone Acetonide,1167124,1.45,1799662.79,2028-02-29
Fluocinolone Acetonide,676669,1.75,1256468.61,2028-03-02
Fluocinonide,21241,1.31,29566.34,2028-01-31
Colesevelam HCl,2416120,4.08,10439373.92,2028-04-24
Colchicine,19538370,6.77,140283386.75,2028-04-26
Colesevelam HCl,19514118,3.18,65821320.69,2028-04-25
Colchicine,7985,8.12,68760.22,2028-04-28
Colchicine,19538370,6.77,140283386.75,2028-04-27
Fluocinonide,1306124,1.83,2533673.11,2028-01-24
Fluocinonide,4194161,1.05,4668006.79,2028-01-25
Fluocinonide,4315595,1.36,6210318.76,2028-01-27
Fluocinonide,720,1.18,896.90,2028-01-28
Fluocinonide,3427377,6.80,24704284.55,2028-01-29
Fluocinonide,801645,5.46,4639546.49,2028-01-30
Colchicine,6486467,5.49,37755728.84,2028-05-08
Fluocinonide,5031414,1.27,6757221.25,2028-02-02
Fluocinonide,523458,1.62,896872.03,2028-02-04
Fluocinonide,892840,5.91,5597814.52,2028-02-05
Fluocinonide,1460629,5.82,9006082.84,2028-02-06
Fluocinonide,21511803,1.54,35217394.14,2028-02-08
Fluocinonide,10068925,1.13,12033084.87,2028-02-10
Diphth,Pertuss(Acell),Tet Vac,226935,116.43,28006951.50,2029-01-03
Diphth,Pertuss(Acell),Tet Vac,226935,116.43,28006951.50,2029-01-04
Bortezomib,239,1666.98,422313.14,2029-01-02
Colchicine,4736241,5.35,26856750.77,2028-05-12
Bortezomib,239,1666.98,422313.14,2028-12-26
Blinatumomab,87,3913.97,360945.96,2028-01-15
Sulfacetamide/Prednisolone,23845,28.83,728796.61,2028-01-16
Norethindrone-E.Estradiol-Iron,92040,1.44,140604.74,2028-01-13
Clozapine,1220843,12.96,16768546.42,2028-05-24
Blinatumomab,87,3913.97,360945.96,2028-01-14
Ibandronate Sodium,5472,186.47,1081558.64,2029-01-07
Balsalazide Disodium,55858,5.31,314378.68,2028-05-15
Ibandronate Sodium,5472,186.47,1081558.64,2029-01-08
Colchicine,11230693,5.43,64639330.13,2028-05-14
Doxylamine Succinate/Vit B6,960,10.40,10584.58,2029-01-05
Codeine Sulfate,556154,0.44,259080.58,2028-05-17
Doxylamine Succinate/Vit B6,960,10.40,10584.58,2029-01-06
Balsalazide Disodium,55858,5.31,314378.68,2028-05-16
Norethindrone-E.Estradiol-Iron,92040,1.44,140604.74,2029-01-11
Codeine Sulfate,2458625,0.56,1464172.69,2028-05-19
Codeine Sulfate,1902471,0.60,1203067.92,2028-05-18
Norethindrone-E.Estradiol-Iron,593695,0.54,339491.28,2029-01-09
Artemether/Lumefantrine,18866,5.16,103182.85,2028-05-21
Norethindrone-E.Estradiol-Iron,593695,0.54,339491.28,2029-01-10
Artemether/Lumefantrine,18866,5.16,103182.85,2028-05-20
Bosutinib,525890,229.65,128017188.09,2028-12-13
Fluticasone/Vilanterol,201225861,5.76,1228680200.21,2028-12-06
Norethindrone-Ethin. Estradiol,22206,0.85,20111.92,2028-12-03
Encorafenib,105014,61.34,6827610.85,2028-12-09
Onabotulinumtoxina,60833,914.67,58980655.33,2028-12-10
Fluticasone/Vilanterol,201225861,5.76,1228680200.21,2028-12-07
Encorafenib,105014,61.34,6827610.85,2028-12-08
